MySQL [soybase]> select QTLName,db_accn FROM qtl_xref_table WHERE db_id='TO';
+--------------------------------------+-------------+
| QTLName                              | db_accn     |
| Jav root-knot nematode 1-1           | TO:0002706  |
| Jav root-knot nematode 1-2           | TO:0002706  |
| Jav root-knot nematode 1-3           | TO:0002706  |
| Jav root-knot nematode 1-4           | TO:0002706  |
| Jav root-knot nematode 1-5           | TO:0002706  |
| Jav root-knot nematode 1-6           | TO:0002706  |
| Jav root-knot nematode 1-7           | TO:0002706  |
| Jav root-knot nematode 1-8           | TO:0002706  |
| Jav root-knot nematode 2-1           | TO:0002706  |
| Seed oil 1-1                         | TO:0000602  |
| Seed oil 1-2                         | TO:0000602  |
| Seed oil 2-1                         | TO:0000602  |
| Seed oil 2-2                         | TO:0000602  |
| Seed oil 2-3                         | TO:0000602  |
| Seed oil 2-4                         | TO:0000602  |
| Seed oil 2-5                         | TO:0000602  |
| Seed oil 2-6                         | TO:0000602  |
| Seed oil 2-7                         | TO:0000602  |
| Seed oil 2-8                         | TO:0000602  |
| Seed oil 2-9                         | TO:0000602  |
| Seed oil 3-1                         | TO:0000602  |
| Seed oil 3-2                         | TO:0000602  |
| Seed oil 3-3                         | TO:0000602  |
| Seed oil 4-1                         | TO:0000602  |
| Seed oil 4-2                         | TO:0000602  |
| Seed oil 4-3                         | TO:0000602  |
| Seed oil 4-4                         | TO:0000602  |
| Seed oil 4-5                         | TO:0000602  |
| Seed oil 4-6                         | TO:0000602  |
| Seed oil 4-7                         | TO:0000602  |
| Seed oil 4-8                         | TO:0000602  |
| Seed oil 4-9                         | TO:0000602  |
| Seed oil 4-10                        | TO:0000602  |
| Seed oil 4-11                        | TO:0000602  |
| Seed oil 5-1                         | TO:0000602  |
| Seed oil 5-2                         | TO:0000602  |
| Seed oil 5-3                         | TO:0000602  |
| Seed oil 5-4                         | TO:0000602  |
| Seed oil 5-5                         | TO:0000602  |
| Seed oil 5-6                         | TO:0000602  |
| Seed oil 6-1                         | TO:0000602  |
| Seed oil 6-2                         | TO:0000602  |
| Seed oil 6-3                         | TO:0000602  |
| Seed oil 6-4                         | TO:0000602  |
| Seed oil 6-5                         | TO:0000602  |
| Seed oil 7-1                         | TO:0000602  |
| Seed oil 8-1                         | TO:0000602  |
| Seed oil 8-2                         | TO:0000602  |
| Seed oil 9-1                         | TO:0000602  |
| Seed oil 9-2                         | TO:0000602  |
| Seed oil 9-3                         | TO:0000602  |
| Seed oil 10-1                        | TO:0000602  |
| Seed oil 11-1                        | TO:0000602  |
| Seed oil 12-1                        | TO:0000602  |
| Seed oil 13-1                        | TO:0000602  |
| Seed oil 13-2                        | TO:0000602  |
| Seed oil 13-3                        | TO:0000602  |
| Seed oil 13-4                        | TO:0000602  |
| Seed oil 13-5                        | TO:0000602  |
| Seed oil 14-1                        | TO:0000602  |
| Seed oil 14-2                        | TO:0000602  |
| Seed oil 14-3                        | TO:0000602  |
| Seed oil 15-1                        | TO:0000602  |
| Seed oil 16-1                        | TO:0000602  |
| Seed oil 16-2                        | TO:0000602  |
| Seed oil 16-3                        | TO:0000602  |
| Seed oil 16-4                        | TO:0000602  |
| Seed oil 16-5                        | TO:0000602  |
| Seed oil to protein ratio 1-1        | TO:0000491  |
| Seed oil to protein ratio 1-2        | TO:0000491  |
| Seed oleic 1-1                       | TO:0005002  |
| Seed oleic 1-2                       | TO:0005002  |
| Seed oleic 1-3                       | TO:0005002  |
| Seed oleic 1-4                       | TO:0005002  |
| Seed oleic 1-5                       | TO:0005002  |
| Seed oleic 1-6                       | TO:0005002  |
| Seed palmitic 1-1                    | TO:0000491  |
| Seed palmitic 1-2                    | TO:0000491  |
| Seed palmitic 1-3                    | TO:0000491  |
| Seed palmitic 2-1                    | TO:0000491  |
| Seed palmitic 2-2                    | TO:0000491  |
| Photoperiod insensitivity 1-1        | TO:0000229  |
| Photoperiod insensitivity 2-1        | TO:0000229  |
| Photoperiod insensitivity 2-2        | TO:0000229  |
| Phytoph 1-1                          | TO:0000112  |
| Phytoph 1-2                          | TO:0000112  |
| Plant height 1-1                     | TO:0000207  |
| Plant height 2-1                     | TO:0000207  |
| Plant height 2-2                     | TO:0000207  |
| Plant height 2-3                     | TO:0000207  |
| Plant height 2-4                     | TO:0000207  |
| Plant height 3-1                     | TO:0000207  |
| Plant height 3-2                     | TO:0000207  |
| Plant height 3-3                     | TO:0000207  |
| Plant height 3-4                     | TO:0000207  |
| Plant height 3-5                     | TO:0000207  |
| Plant height 4-1                     | TO:0000207  |
| Plant height 4-2                     | TO:0000207  |
| Plant height 4-3                     | TO:0000207  |
| Plant height 4-4                     | TO:0000207  |
| Plant height 5-1                     | TO:0000207  |
| Plant height 5-2                     | TO:0000207  |
| Plant height 5-3                     | TO:0000207  |
| Plant height 5-4                     | TO:0000207  |
| Plant height 5-5                     | TO:0000207  |
| Plant height 5-6                     | TO:0000207  |
| Plant height 5-7                     | TO:0000207  |
| Plant height 5-8                     | TO:0000207  |
