QTLID	QTLName	LocusName
246	Leaflet width 4-1	Satt287
247	Leaflet width 4-2	A489_1
248	Leaflet width 5-1	A378_1
249	Leaflet width 5-2	R249_2
250	Leaflet width 5-3	Satt442
251	Leaflet width 5-4	R079_1
252	Leaflet area 1-1	A489_1
253	Leaflet area 1-2	K262_1
254	Leaflet area 1-3	Satt239
255	Leaflet area 1-4	GM001a
256	Leaflet area 1-5	A096_2
257	Leaflet area 1-6	GM004
258	Leaflet shape 1-1	A489_1
259	Leaflet shape 1-2	GM133
260	Leaflet shape 1-3	GM254
261	Leaflet shape 1-4	GM018
262	Leaflet shape 2-1	K385_1
263	Leaflet shape 4-1	A489_1
264	Leaflet shape 4-2	A459_3
265	Leaflet shape 5-1	Satt156
266	Seed linoleic 1-1	A082_1
267	Seed linoleic 1-2	A104_1
268	Seed linoleic 1-3	A170_1
269	Seed linoleic 1-4	A242_2
270	Seed linoleic 1-5	A118_1
271	Seed linoleic 1-6	Pb
272	Seed linolenic 1-1	SAC7_1
273	Seed linolenic 1-2	A023_1
274	Seed linolenic 1-3	A203_1
275	Seed linolenic 1-4	A242_2
276	Seed linolenic 1-5	A454_1
277	Seed linolenic 1-6	A065_3
278	Seed linolenic 1-7	K229_1
279	Peanut root-knot nematode 1-1	HSP_2
280	Peanut root-knot nematode 1-2	A186_1
281	Peanut root-knot nematode 1-3	A757_1
282	Peanut root-knot nematode 1-4	B212_1
283	Peanut root-knot nematode 1-5	R045_1
284	Peanut root-knot nematode 2-1	B212_1
284	Peanut root-knot nematode 2-1	R045_1
285	Peanut root-knot nematode 2-2	A111_2
285	Peanut root-knot nematode 2-2	B212_2
286	Southern root-knot nematode 1-1	A882_1
287	Southern root-knot nematode 1-2	G248_1
288	Southern root-knot nematode 1-3	A890_1
289	Southern root-knot nematode 1-4	K493_1
290	Southern root-knot nematode 2-1	A882_1
290	Southern root-knot nematode 2-1	G248_1
291	Southern root-knot nematode 2-2	cs008_1
291	Southern root-knot nematode 2-2	K493_1
292	Southern root-knot nematode 3-1	Satt358
292	Southern root-knot nematode 3-1	Satt492
293	Southern root-knot nematode 3-2	Satt012
293	Southern root-knot nematode 3-2	Satt505
294	Southern root-knot nematode 4-1	Satt012
294	Southern root-knot nematode 4-1	Satt505
295	Jav root-knot nematode 1-1	A725_2
296	Jav root-knot nematode 1-2	A806_1
297	Jav root-knot nematode 1-3	HSP_2
298	Jav root-knot nematode 1-4	A186_1
299	Jav root-knot nematode 1-5	A757_1
300	Jav root-knot nematode 1-6	B212_1
301	Jav root-knot nematode 1-7	R045_1
302	Jav root-knot nematode 1-8	B174_3
