#QTLName	OntologyIdentifier
First flower 13-8	PO:0009046
First flower 13-8	TO:0000369
First flower 13-9	PO:0007016
First flower 13-9	PO:0009046
First flower 13-9	TO:0000369
First flower 15-1	PO:0007016
First flower 15-1	PO:0009046
First flower 15-1	TO:0000369
First flower 15-2	PO:0007016
First flower 15-2	PO:0009046
First flower 15-2	TO:0000369
First flower 16-1	PO:0007016
First flower 16-1	PO:0009046
First flower 16-1	TO:0000369
First flower 16-2	PO:0007016
First flower 16-2	PO:0009046
First flower 16-2	TO:0000369
First flower 16-3	PO:0007016
First flower 16-3	PO:0009046
First flower 16-3	TO:0000369
First flower 16-4	PO:0007016
First flower 16-4	PO:0009046
First flower 16-4	TO:0000369
First flower 18-1	PO:0007016
First flower 18-1	PO:0009046
First flower 18-1	TO:0000369
First flower 18-2	PO:0007016
First flower 18-2	PO:0009046
First flower 18-2	TO:0000369
First flower 19-1	PO:0007016
First flower 19-1	PO:0009046
First flower 19-1	TO:0000369
First flower 19-2	PO:0007016
First flower 19-2	PO:0009046
First flower 19-2	TO:0000369
First flower 2-1	PO:0007016
First flower 2-1	PO:0009046
First flower 2-1	TO:0000369
First flower 2-2	PO:0007016
First flower 2-2	PO:0009046
First flower 2-2	TO:0000369
First flower 2-3	PO:0007016
First flower 2-3	PO:0009046
First flower 2-3	TO:0000369
First flower 20-1	PO:0007016
First flower 20-1	PO:0009046
First flower 20-1	TO:0000369
First flower 20-2	PO:0007016
First flower 20-2	PO:0009046
First flower 20-2	TO:0000369
First flower 20-3	PO:0007016
First flower 20-3	PO:0009046
First flower 20-3	TO:0000369
First flower 21-1	PO:0007016
First flower 21-1	PO:0009046
First flower 21-1	TO:0000369
First flower 21-2	PO:0007016
First flower 21-2	PO:0009046
First flower 21-2	TO:0000369
First flower 21-3	PO:0007016
First flower 21-3	PO:0009046
First flower 21-3	TO:0000369
First flower 21-4	PO:0007016
First flower 21-4	PO:0009046
First flower 21-4	TO:0000369
First flower 21-5	PO:0007016
First flower 21-5	PO:0009046
First flower 21-5	TO:0000369
First flower 22-1	PO:0007016
First flower 22-1	PO:0009046
First flower 22-1	TO:0000369
First flower 22-2	PO:0007016
First flower 22-2	PO:0009046
First flower 22-2	TO:0000369
First flower 22-3	PO:0007016
First flower 22-3	PO:0009046
First flower 22-3	TO:0000369
First flower 22-4	PO:0007016
First flower 22-4	PO:0009046
First flower 22-4	TO:0000369
First flower 23-1	PO:0007016
First flower 23-1	PO:0009046
First flower 23-1	TO:0000369
First flower 24-1	PO:0007016
First flower 24-1	PO:0009046
First flower 24-1	TO:0000369
First flower 24-2	PO:0007016
First flower 24-2	PO:0009046
First flower 24-2	TO:0000369
First flower 24-3	PO:0007016
First flower 24-3	PO:0009046
First flower 24-3	TO:0000369
First flower 24-4	PO:0007016
First flower 24-4	PO:0009046
First flower 24-4	TO:0000369
First flower 25-1	PO:0007016
First flower 25-1	PO:0009046
First flower 25-1	TO:0000369
First flower 25-2	PO:0007016
First flower 25-2	PO:0009046
First flower 25-2	TO:0000369
First flower 25-3	PO:0007016
First flower 25-3	PO:0009046
First flower 25-3	TO:0000369
First flower 25-4	PO:0007016
First flower 25-4	PO:0009046
